entrada,fuente,motor_direccion,motor_estado,motor_confianza,motor_advertencias,direccion_esperada,revisado,notas
carrera 49a número 90 80,raw.csv,CR 49A # 90 - 80,OK,0.97,placa sin guion,CR 49A # 90 - 80,si,
Calle 71B #29 14 Casa,raw.csv,CL 71B # 29 - 14,OK,0.97,placa sin guion | descartado: 'casa',CL 71B # 29 - 14,si,
"Cra. 44 #95 -62 Barrio Manrique Villa de Guadalupe, Antioquia~~~Medellin~~~~~~Cra. 44 #95 -62 Barrio Manrique Villa de Guadalupe",raw.csv,CR 44 # 95 - 62,OK,1.0,descartado: 'barrio manrique villa de guadalupe' | descartado: '',CR 44 # 95 - 62,si,
CL 79 SUR #59 86 INT 9901,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 79 SUR # 59 - 86,OK,0.97,placa sin guion | descartado: 'int 9901',CL 79 SUR # 59 - 86,si,
Carrera 51 b # 106 a 20 int 201 Cada 2 piso,raw.csv,CR 51B # 106A - 20,OK,0.97,placa sin guion | descartado: 'int 201 cada 2 piso',CR 51B # 106A - 20,si,
CR 49D#94 SUR 60,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 49D # 94 SUR - 60,OK,0.97,placa sin guion,CR 49D # 94 SUR - 60,si,
CR 52#83C SUR 17,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 52 # 83C SUR - 17,OK,0.97,placa sin guion,CR 52 # 83C SUR - 17,si,
CR 43A#19 17 PISO 5,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 43A # 19 - 17,OK,0.97,placa sin guion | descartado: 'piso 5',CR 43A # 19 - 17,si,
TV 34A SUR NO 32D 13 IN 301,datos.gov.co/8xhn-2dp9 (Empresas de construcción del Aburrá Sur),TV 34A SUR # 32D - 13,OK,0.97,placa sin guion | descartado: 'in 301',TV 34A SUR # 32D - 13,si,
Calle Calle 101b# 42c-7 Segundo piso,raw.csv,CL 101B # 42C - 07,OK,0.98,placa de un dígito completada con cero | descartado: 'segundo piso',CL 101B # 42C - 07,si,
Calle Calla 119 50 b 140 la frontera Apartamento 301,raw.csv,CL 119 # 50B - 140,OK,0.92,placa sin guion | tipo de vía con error de escritura | descartado: 'la frontera apartamento 301',CL 119 # 50B - 140,si,
CR 43A NRO. 27A SUR 86 OF 244,datos.gov.co/8xhn-2dp9 (Empresas de construcción del Aburrá Sur),CR 43A # 27A SUR - 86,OK,0.97,placa sin guion | descartado: 'of 244',CR 43A # 27A SUR - 86,si,
Calle 79 Sur N° 59-59,datos.gov.co/7v8m-zcmy (Base de datos PH La Estrella),CL 79 SUR # 59 - 59,OK,1.0,,CL 79 SUR # 59 - 59,si,
Cra 38 A #81 - 78 Interior 301,raw.csv,CR 38A # 81 - 78,OK,1.0,descartado: 'interior 301',CR 38A # 81 - 78,si,
Calle 80c 55-114 Apto,raw.csv,CL 80C # 55 - 114,OK,1.0,descartado: 'apto',CL 80C # 55 - 114,si,
CL 80 SUR #59 04,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 80 SUR # 59 - 04,OK,0.97,placa sin guion,CL 80 SUR # 59 - 04,si,
CALLE 49 D SUR NO 40 A 351,datos.gov.co/g8hy-gwg8 (Instituciones educativas Envigado),CL 49D SUR # 40A - 351,OK,0.97,placa sin guion,CL 49D SUR # 40A - 351,si,
Carrera Carrera 54c #81 f19 Interior 114,raw.csv,CR 54C # 81F - 19,OK,0.97,placa sin guion | descartado: 'interior 114',CR 54C # 81F - 19,si,
Carrera Carrera 36 69-79 Segundo piso,raw.csv,CR 36 # 69 - 79,OK,1.0,descartado: 'segundo piso',CR 36 # 69 - 79,si,
"Cra 51a #97-32 Apto 301, llamar al 3000000000, Antioquia~~~Medellin~~~~~~Cra 51a #97-32 Apto 301, llamar al 3000000000",raw.csv,CR 51A # 97 - 32,OK,1.0,"descartado: 'apto 301, llamar al' | descartado: '3000000000'",CR 51A # 97 - 32,si,
KM 10+10+10 BELLO HATILÑLO,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
CR 58 FRENTE 56-65,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CR 58,PARCIAL,1.0,dirección sin cruce ni placa | descartado: 'frente 56-65',CR 58 # 56 – 65,si,
Calle 102 #aa27-b71 piso,raw.csv,CL 102,PARCIAL,1.0,dirección sin cruce ni placa | descartado: 'aa27-b71 piso',CL 102AA # 27B – 71,si,
Calle Calle 107F #27b-55 Casa,raw.csv,CL 107F # 27B - 55,OK,1.0,descartado: 'casa',CL 107F # 27B - 55,si,
Carrera 30 #72-45,raw.csv,CR 30 # 72 - 45,OK,1.0,,CR 30 # 72 - 45,si,
CALLE 51 CRA 57,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 51 X CR 57,PARCIAL,1.0,cruce de vías sin placa,,si,
Calle 92 # 48 - 11 Piso 1,raw.csv,CL 92 # 48 - 11,OK,1.0,descartado: 'piso 1',CL 92 # 48 - 11,si,
Carrera Carrera 39# 70-22 Dos cuadras abajo del parque Gaitan 1 piso,raw.csv,CR 39 # 70 - 22,OK,1.0,descartado: 'dos cuadras abajo del parque gaitan 1 piso',CR 39 # 70 - 22,si,
CL 10 SUR #51 62 MEDELLIN,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 10 SUR # 51 - 62,OK,0.97,placa sin guion | descartado: 'medellin',CL 10 SUR # 51 - 62,si,
Calle 89 #54-50 piso 3,raw.csv,CL 89 # 54 - 50,OK,1.0,descartado: 'piso 3',CL 89 # 54 - 50,si,
cra 48b #111-45 int 301,raw.csv,CR 48B # 111 - 45,OK,1.0,descartado: 'int 301',CR 48B # 111 - 45,si,
cr 46 # 85-26 piso 2,raw.csv,CR 46 # 85 - 26,OK,1.0,descartado: 'piso 2',CR 46 # 85 - 26,si,
calle 81#41-25 piso 2,raw.csv,CL 81 # 41 - 25,OK,1.0,descartado: 'piso 2',CL 81 # 41 - 25,si,
"carrera 51a #97-82 int 256 casa, primer piso",raw.csv,CR 51A # 97 - 82,OK,1.0,"descartado: 'int 256 casa, primer piso'",CR 51A # 97 - 82,si,
Calle 36D Sur 27 40,datos.gov.co/7nv5-fy9z (Sedes administrativas Envigado),CL 36D SUR # 27 - 40,OK,0.97,placa sin guion,CL 36D SUR # 27 - 40,si,
carrera 37# 95A23 interior  310 manrrique san Pablo manrrique san Pablo,raw.csv,CR 37 # 95A - 23,OK,0.97,placa sin guion | descartado: 'interior 310 manrrique san pablo manrrique san pablo',CR 37 # 95A - 23,si,
Calle 79 Sur Nro. 55 - 15,datos.gov.co/7v8m-zcmy (Base de datos PH La Estrella),CL 79 SUR # 55 - 15,OK,1.0,,CL 79 SUR # 55 - 15,si,
AUT MED-BOG KM 4+500,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
Calle 80 Sur Nro. 56 D 42,datos.gov.co/7v8m-zcmy (Base de datos PH La Estrella),CL 80 SUR # 56D - 42,OK,0.97,placa sin guion,CL 80 SUR # 56D - 42,si,
CL 6 SUR #51 41 MEDELLIN,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 6 SUR # 51 - 41,OK,0.97,placa sin guion | descartado: 'medellin',CL 6 SUR # 51 - 41,si,
KM18+000,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
CLL 50 FRENTE 58-81,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 50,PARCIAL,1.0,dirección sin cruce ni placa | descartado: 'frente 58-81',CL 50 # 58 – 81,si,
Calle Cl 124 43c-6 Int 133,raw.csv,CL 124 # 43C - 06,OK,0.98,placa de un dígito completada con cero | descartado: 'int 133',CL 124 # 43C - 06,si,
Carrera 55 #95a-15 apartamento 129,raw.csv,CR 55 # 95A - 15,OK,1.0,descartado: 'apartamento 129',CR 55 # 95A - 15,si,
Calle 69 # 31-12 Primer piso,raw.csv,CL 69 # 31 - 12,OK,1.0,descartado: 'primer piso',CL 69 # 31 - 12,si,
CL 44 CR 83,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 44 X CR 83,PARCIAL,1.0,cruce de vías sin placa,,si,
CALLE 59 N- 59-06,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 59 # 59 - 06,OK,0.95,guion entre vía y cruce,CL 59 # 59 - 06,si,
CRA 78 FRENTE 42+25,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CR 78,PARCIAL,1.0,dirección sin cruce ni placa | descartado: 'frente 42+25',CR 78 # 42 – 25,si,
cll 108 c cr 28 c -4,raw.csv,CL 108C # 28C - 04,OK,0.98,placa de un dígito completada con cero,CL 108C # 28C - 04,si,
"Cra. 53 # 89A - 3 Barrio Aranjuez Una cuadra abajo del comfama de Aranjuez, llamar al 312 2705869",raw.csv,CR 53 # 89A - 03,OK,0.98,"placa de un dígito completada con cero | descartado: 'barrio aranjuez una cuadra abajo del comfama de aranjuez, llamar al' | descartado: '312 2705869'",CR 53 # 89A - 03,si,
AUTOPISTA MEDELLIN BOGOTA KM 13+440,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
Calle 118 Calle 118 #49-84 Referencia: Confirmo Dirección Calle 118 #49 c84 (Apto 301),raw.csv,CL 118 # 49 - 84,PARCIAL,1.0,el texto contiene varias direcciones | descartado: 'calle 118' | descartado: 'referencia: confirmo direccion calle 118 #49 c84' | descartado: '(Apto 301)',,si,
6205 km 001,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
Carrera 30A calle 111-96 interior 1158 Casa,raw.csv,CR 30A # 111 - 96,OK,1.0,descartado: 'interior 1158 casa',CR 30A # 111 - 96,si,
CL 40F SUR NRO. 40 11,datos.gov.co/8xhn-2dp9 (Empresas de construcción del Aburrá Sur),CL 40F SUR # 40 - 11,OK,0.97,placa sin guion,CL 40F SUR # 40 - 11,si,
Calle Calle 88 #36 AA45 Piso 3,raw.csv,CL 88 # 36AA - 45,OK,0.97,placa sin guion | descartado: 'piso 3',CL 88 # 36AA - 45,si,
AUTOPISTA MEDELLIN BOGOTA KM14+00,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
CR 59#75AA SUR 75,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 59 # 75AA SUR - 75,OK,0.97,placa sin guion,CR 59 # 75AA SUR - 75,si,
Carrera 51 b # 86-45,raw.csv,CR 51B # 86 - 45,OK,1.0,,CR 51B # 86 - 45,si,
"Calle 71 A # 37 - 16 Interior 201, Manrique Oriental~~~Medellin~~~~~~Calle 71 A # 37 - 16 Interior 201",raw.csv,CL 71A # 37 - 16,OK,1.0,descartado: 'interior 201',CL 71A # 37 - 16,si,
CALLE 52 CON CARRERA 46,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 52 X CR 46,PARCIAL,1.0,cruce de vías sin placa,,si,
calle 75b # 36 a 89 2 piso casa,raw.csv,CL 75B # 36A - 89,OK,0.97,placa sin guion | descartado: '2 piso casa',CL 75B # 36A - 89,si,
interior 204 callejon,raw.csv,,FALLO,0.0,,,si,
Carrera Carrera 50B #94 -78 Apto 201,raw.csv,CR 50B # 94 - 78,OK,1.0,descartado: 'apto 201',CR 50B # 94 - 78,si,
CR 51 AL FREB¿NTE 50-07,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CR 51,PARCIAL,1.0,dirección sin cruce ni placa | descartado: 'al freb¿nte 50-07',CR 51 # 50-07,si,
CR 45A NO 65 SUR 66,datos.gov.co/8xhn-2dp9 (Empresas de construcción del Aburrá Sur),CR 45A # 65 SUR - 66,OK,0.97,placa sin guion,CR 45A # 65 SUR - 66,si,
Carrera Carrera 30 #111-150 Barrio popular 1Casa primer piso puerta negra,raw.csv,CR 30 # 111 - 150,OK,1.0,descartado: 'barrio popular 1casa primer piso puerta negra',CR 30 # 111 - 150,si,
km4 25AN19,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
CRA 44 NO 38 SUR 15,datos.gov.co/g8hy-gwg8 (Instituciones educativas Envigado),CR 44 # 38 SUR - 15,OK,0.97,placa sin guion,CR 44 # 38 SUR - 15,si,
Calle Calle 110 #50-22 Primer piso,raw.csv,CL 110 # 50 - 22,OK,1.0,descartado: 'primer piso',CL 110 # 50 - 22,si,
Calle Calle84b#23b71 Bello oriente partes altas de santo domingo,raw.csv,CL 84B # 23B - 71,OK,0.97,placa sin guion | descartado: 'bello oriente partes altas de santo domingo',CL 84B # 23B - 71,si,
VIA BELLO HATILLO KM 11+700,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
Cra 31 n107-54 Autoservicio valentina,raw.csv,CR 31 # 107 - 54,OK,1.0,descartado: 'autoservicio valentina',CR 31 # 107 - 54,si,
cl.98b #40-4 primer piso,raw.csv,CL 98B # 40 - 04,OK,0.98,placa de un dígito completada con cero | descartado: 'primer piso',CL 98B # 40 - 04,si,
Cll100#45a11int206 Barrio Santa Cruz primer callejón a mano dere,raw.csv,CL 100 # 45A - 11,OK,0.97,placa sin guion | descartado: 'int206 barrio santa cruz primer callejon a mano dere',CL 100 # 45A - 11,si,
Calle Carrera 53 #100-17 Santa Cruz,raw.csv,CR 53 # 100 - 17,OK,0.95,"tipos de vía distintos (CL, CR), se usa el último | descartado: 'santa cruz'",CR 53 # 100 - 17,si,
CALLE 40 H SUR 41-61,datos.gov.co/g8hy-gwg8 (Instituciones educativas Envigado),CL 40H SUR # 41 - 61,OK,1.0,,CL 40H SUR # 41 - 61,si,
Carrera carrera 36 Carrera carrera 36 # 85b-23 Estacion de policia,raw.csv,CR 36 # 85B - 23,OK,1.0,descartado: 'carrera carrera 36' | descartado: 'estacion de policia',CR 36 # 85B - 23,si,
CR 50#96A SUR 98,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 50 # 96A SUR - 98,OK,0.97,placa sin guion,CR 50 # 96A SUR - 98,si,
Carrera 50 D 88 18 apto 303 edificio amaro,raw.csv,CR 50D # 88 - 18,OK,0.97,placa sin guion | descartado: 'apto 303 edificio amaro',CR 50D # 88 - 18,si,
CR 52#7 57 MEDELLIN,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 52 # 7 - 57,OK,0.97,placa sin guion | descartado: 'medellin',CR 52 # 7 - 57,si,
Calle 107d #29 a 37 Casa,raw.csv,CL 107D # 29A - 37,OK,0.97,placa sin guion | descartado: 'casa',CL 107D # 29A - 37,si,
Carrera 31c #93a06 Apartamento,raw.csv,CR 31C # 93A - 06,OK,0.97,placa sin guion | descartado: 'apartamento',CR 31C # 93A - 06,si,
Calle Calle 75a #34-81 Piso 2,raw.csv,CL 75A # 34 - 81,OK,1.0,descartado: 'piso 2',CL 75A # 34 - 81,si,
CL 100B SUR #48CC 41,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 100B SUR # 48CC - 41,OK,0.97,placa sin guion,CL 100B SUR # 48CC - 41,si,
"cr 32 # 69-80 Primer piso, esquina, Antioquia~~~Medellin~~~~~~cr 32 # 69-80 Primer piso, esquina",raw.csv,CR 32 # 69 - 80,OK,1.0,"descartado: 'primer piso, esquina'",CR 32 # 69 - 80,si,
Carrera 49 a # 95 - 21 Casa primer piso,raw.csv,CR 49A # 95 - 21,OK,1.0,descartado: 'casa primer piso',CR 49A # 95 - 21,si,
CR 51#95B SUR 53,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 51 # 95B SUR - 53,OK,0.97,placa sin guion,CR 51 # 95B SUR - 53,si,
TV 32C SUR NRO. 33 60,datos.gov.co/8xhn-2dp9 (Empresas de construcción del Aburrá Sur),TV 32C SUR # 33 - 60,OK,0.97,placa sin guion,TV 32C SUR # 33 - 60,si,
CL 77 SUR NRO. 60 22,datos.gov.co/8xhn-2dp9 (Empresas de construcción del Aburrá Sur),CL 77 SUR # 60 - 22,OK,0.97,placa sin guion,CL 77 SUR # 60 - 22,si,
Carrera 52 #78-27 segundo piso,raw.csv,CR 52 # 78 - 27,OK,1.0,descartado: 'segundo piso',CR 52 # 78 - 27,si,
Calle 85 Calle 85 # 42 - 18 Referencia: Segundo piso,raw.csv,CL 85 # 42 - 18,OK,1.0,descartado: 'calle 85' | descartado: 'referencia: segundo piso',CL 85 # 42 - 18,si,
Avenida Calle 92 #50a-39 Aranjuez Apto 401,raw.csv,CL 92 # 50A - 39,OK,1.0,descartado: 'aranjuez apto 401',CL 92 # 50A - 39,si,
cr 48 52-09,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CR 48 # 52 - 09,OK,1.0,,CR 48 # 52 - 09,si,
Calle Cra 30 calle 111-40 Piso 1,raw.csv,CR 30 # 111 - 40,OK,1.0,descartado: 'calle' | descartado: 'piso 1',CR 30 # 111 - 40,si,
dos quebradas  km10+300,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
KM 10+100,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
AUTOPISTA NORTE KM 9+900,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
cr 47#106-51 casa,raw.csv,CR 47 # 106 - 51,OK,1.0,descartado: 'casa',CR 47 # 106 - 51,si,
Calle Cl. 101#49-40,raw.csv,CL 101 # 49 - 40,OK,1.0,,CL 101 # 49 - 40,si,
"Carrera 28e #108-38 Barrio Santo Domingo Savio, primer piso",raw.csv,CR 28E # 108 - 38,OK,1.0,"descartado: 'barrio santo domingo savio, primer piso'",CR 28E # 108 - 38,si,
"CL. 94A #43B - 19 201 - Apto de rejas, Antioquia~~~Medellin~~~~~~CL. 94A #43B - 19 201 - Apto de rejas",raw.csv,CL 94A # 43B - 19,OK,1.0,descartado: '201 - apto de rejas',CL 94A # 43B - 19,si,
Carrera Cra 45#67-44 granero unitense Granero unitense,raw.csv,CR 45 # 67 - 44,OK,1.0,descartado: 'granero unitense granero unitense',CR 45 # 67 - 44,si,
VIA AUTOPISTA MEDELLIN BOGOTA KM 9+600,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
Street Carrera 49a #82-20 Piso 2 int 201 campo valdes,raw.csv,CR 49A # 82 - 20,OK,0.98,texto antes de la dirección | descartado: 'street' | descartado: 'piso 2 int 201 campo valdes',CR 49A # 82 - 20,si,
"CRA 42D # 108A77 - CRA 42D#108A73 AP. 101 casa esquina, enrejado negro",raw.csv,CR 42D # 108A - 77,PARCIAL,0.97,"el texto contiene varias direcciones | placa sin guion | descartado: '- cra 42d#108a73 ap. 101 casa esquina, enrejado negro'",,si,
Carrera 34 Calle 102 B 36 Carrera 34 Calle 102 B 36 #SN-SN Referencia: Cerca al colegio María Cano (Segundo piso reja negra),raw.csv,CR 34 # 102B - 36,OK,0.97,placa sin guion | descartado: 'carrera 34 calle 102 b 36 #sn-sn referencia: cerca al colegio maria cano' | descartado: '(Segundo piso reja negra)',CR 34 # 102B - 36,si,
cr 14 Nº15,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),CR 14 # 15,PARCIAL,1.0,dirección sin placa,CR 14 X CL 15,si,
Carrera 44 # 85-69 Primer piso,raw.csv,CR 44 # 85 - 69,OK,1.0,descartado: 'primer piso',CR 44 # 85 - 69,si,
CRA 49 A KILOMETRO 200+700 CABUYAL,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CR 49A,PARCIAL,1.0,"contiene indicios rurales (km, vereda, finca) | dirección sin cruce ni placa | descartado: 'kilometro 200+700 cabuyal'",,si,
Carrera Cr52#97-125 Billar estación tricentenario,raw.csv,CR 52 # 97 - 125,OK,1.0,descartado: 'billar estacion tricentenario',CR 52 # 97 - 125,si,
CALLE 59 CON 8,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 59 X CR 8,PARCIAL,1.0,cruce de vías sin placa,,si,
Calle Calle 104c # 50-30 Casa,raw.csv,CL 104C # 50 - 30,OK,1.0,descartado: 'casa',CL 104C # 50 - 30,si,
"Calle 106 Calle 106 43b-27 Referencia: Es bajando unas escalas, la cuadra se divide en dos, ir a mano izquierda hacia la 106, empezando las escalas mano izquierda",raw.csv,CL 106 # 43B - 27,OK,1.0,"descartado: 'calle 106' | descartado: 'referencia: es bajando unas escalas, la cuadra se divide en dos, ir a mano izquierda hacia la 106, empezando las escalas mano izquierda'",CL 106 # 43B - 27,si,
CALLE 59 FRENTE A 39-27 AUTOPISTA NORTE,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 59,PARCIAL,1.0,dirección sin cruce ni placa | descartado: 'frente a 39-27 autopista norte',CL 59 # 39 – 27,si,
CL 75B SUR #56 78,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 75B SUR # 56 - 78,OK,0.97,placa sin guion,CL 75B SUR # 56 - 78,si,
Calle Cl 73 # 49 44 Apartamento 202,raw.csv,CL 73 # 49 - 44,OK,0.97,placa sin guion | descartado: 'apartamento 202',CL 73 # 49 - 44,si,
carrera 42bb # 101b8 primer piso,raw.csv,CR 42BB # 101B - 08,OK,0.95,placa sin guion | placa de un dígito completada con cero | descartado: 'primer piso',CR 42BB # 101B - 08,si,
Calle 111#50a -18 Interior 202,raw.csv,CL 111 # 50A - 18,OK,1.0,descartado: 'interior 202',CL 111 # 50A - 18,si,
AUTOPISTA MEDELLIN BOGOTA KM 7+550,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
Calle 70b Calle 70b #27-95,raw.csv,CL 70B # 27 - 95,OK,1.0,descartado: 'calle 70b',CL 70B # 27 - 95,si,
Calle Calle 72 # 41-06 el pomar Primer piso al frente de un puente,raw.csv,CL 72 # 41 - 06,OK,1.0,descartado: 'el pomar primer piso al frente de un puente',CL 72 # 41 - 06,si,
Carrera 34a #71-35 Manrique Oriental 1 Piso,raw.csv,CR 34A # 71 - 35,OK,1.0,descartado: 'manrique oriental 1 piso',CR 34A # 71 - 35,si,
CARRERA 30N50-66,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CR 30 # 50 - 66,OK,1.0,,CR 30 # 50 - 66,si,
Av. Calle 110c #43b-6 interior 9901 sotano,raw.csv,CL 110C # 43B - 06,OK,0.98,placa de un dígito completada con cero | descartado: 'interior 9901 sotano',CL 110C # 43B - 06,si,
cl. 79a #50a-11 campo valdez segundo piso con muchas plantas,raw.csv,CL 79A # 50A - 11,OK,1.0,descartado: 'campo valdez segundo piso con muchas plantas',CL 79A # 50A - 11,si,
via hatillo bello k23 + 300,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),CR 23 # 3 - 00,PARCIAL,0.73,"confianza 0.73 menor al umbral 0.85 | texto antes de la dirección | números pegados '300' ambiguos, separados como 3-00 | descartado: 'via hatillo bello'",,si,
Calle 73#51D-71 Cc bosque plaza Local 1017 vive tu belleza/tienda de belleza,raw.csv,CL 73 # 51D - 71,OK,1.0,descartado: 'cc bosque plaza local 1017 vive tu belleza/tienda de belleza',CL 73 # 51D - 71,si,
PUERTO MULERO KM 21+050 BARBOSA,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
CR 41#36 SUR 57 OFICINA 201 ENVIGADO,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 41 # 36 SUR - 57,OK,0.97,placa sin guion | descartado: 'oficina 201 envigado',CR 41 # 36 SUR - 57,si,
cra 14# 15 frente de # 52,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),CR 14 # 15,PARCIAL,1.0,dirección sin placa | descartado: 'frente de # 52',,si,
Carrera Cra 50c#77-21 Piso 3,raw.csv,CR 50C # 77 - 21,OK,1.0,descartado: 'piso 3',CR 50C # 77 - 21,si,
CL 47 NORTE #4B NORTE 85 CALI VALLE,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 47,PARCIAL,1.0,dirección sin cruce ni placa | descartado: 'norte #4b norte 85 cali valle',,si,
Carrera 24BC  69D interior 202 casa,raw.csv,CR 24BC # 69D,PARCIAL,1.0,dirección sin placa | descartado: 'interior 202 casa',CR 24BC X CL 69D,si,
104C#50-55 INTERIOR 101,raw.csv,,FALLO,0.0,,,si,
Carrera Cra 51a #71-29 Apartamento 201,raw.csv,CR 51A # 71 - 29,OK,1.0,descartado: 'apartamento 201',CR 51A # 71 - 29,si,
"cr 48a #101-34 interior (201) Segundo piso, casa embaldosada color naranja, Antioquia~~~Medellin~~~~~~cr 48a #101-34 interior (201) Segundo piso, casa embaldosada color naranja",raw.csv,CR 48A # 101 - 34,OK,1.0,"descartado: 'interior segundo piso, casa embaldosada color naranja' | descartado: '(201)'",CR 48A # 101 - 34,si,
"Carrera Aranjuez, Cra 46 # 97 047 Interior 133",raw.csv,CR 46 # 97 - 47,OK,0.95,placa sin guion | texto antes de la dirección | descartado: 'carrera aranjuez' | descartado: 'interior 133',CR 46 # 97 - 47,si,
"Carrera Carrera 49B # 89-65 Casa, segundo piso",raw.csv,CR 49B # 89 - 65,OK,1.0,"descartado: 'casa, segundo piso'",CR 49B # 89 - 65,si,
CR 50#100B SUR 760,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 50 # 100B SUR - 760,OK,0.97,placa sin guion,CR 50 # 100B SUR - 760,si,
Carrera Cra 36 con cll 85c Estación de policía Manrique,raw.csv,CR 36 X CL 85C,PARCIAL,1.0,cruce de vías sin placa | descartado: 'estacion de policia manrique',,si,
Carrera Crr 33 # 107 c 73 Apartamento 105,raw.csv,CR 33 # 107C - 73,OK,0.97,placa sin guion | descartado: 'apartamento 105',CR 33 # 107C - 73,si,
CR 49D#100 SUR 113,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 49D # 100 SUR - 113,OK,0.97,placa sin guion,CR 49D # 100 SUR - 113,si,
crr 31 #107 a 91 santo domingo sabio 1,raw.csv,CR 31 # 107A - 91,OK,0.97,placa sin guion | descartado: 'santo domingo sabio 1',CR 31 # 107A - 91,si,
CR 79#44 46,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 79 # 44 - 46,OK,0.97,placa sin guion,CR 79 # 44 - 46,si,
Carrera Car 40 # 93 - 81 Casa primer piso,raw.csv,CR 40 # 93 - 81,OK,1.0,descartado: 'casa primer piso',CR 40 # 93 - 81,si,
CR 64A #29 78 ITAGUI,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 64A # 29 - 78,OK,0.97,placa sin guion | descartado: 'itagui',CR 64A # 29 - 78,si,
CR 50#91 SUR 411 BODEGA 34 STOCK CENTER,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 50 # 91 SUR - 411,OK,0.97,placa sin guion | descartado: 'bodega 34 stock center',CR 50 # 91 SUR - 411,si,
CR 55#77 SUR 08,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 55 # 77 SUR - 08,OK,0.97,placa sin guion,CR 55 # 77 SUR - 08,si,
Carrera Cr42A-81-32 Casa,raw.csv,CR 42A # 81 - 32,OK,0.95,guion entre vía y cruce | descartado: 'casa',CR 42A # 81 - 32,si,
"Calle 97 # 44a21 Casa primer piso, interior 201",raw.csv,CL 97 # 44A - 21,OK,0.97,"placa sin guion | descartado: 'casa primer piso, interior 201'",CL 97 # 44A - 21,si,
CL 36 D SUR 25 A 31,datos.gov.co/g8hy-gwg8 (Instituciones educativas Envigado),CL 36D SUR # 25A - 31,OK,0.97,placa sin guion,CL 36D SUR # 25A - 31,si,
